┌──────┬───────────────────────────────────────────────┐
│ rank │                     name                      │
├──────┼───────────────────────────────────────────────┤
│ 3    │ The Dark Knight                               │
│ 4    │ The Godfather Part II                         │
│ 5    │ 12 Angry Men                                  │
│ 6    │ Schindler's List                              │
│ 7    │ The Lord of the Rings: The Return of the King │
└──────┴───────────────────────────────────────────────┘
